Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro Quadrado;Valor m2;Tipo Agregado
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;1600;42.5;Apartamento
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;10000;70.0;Casa
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;225;53.33;Apartamento
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;2304;16.67;Apartamento
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;2500;26.0;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;562500;29.33;Casa
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;4225;15.38;Casa
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;4900;21.43;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;8100;16.67;Apartamento
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;1600;50.0;Apartamento
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;729;66.67;Apartamento
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;59049;53.5;Apartamento
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;13225;17.39;Casa
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;2916;17.59;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;4489;25.37;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;12100;17.27;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;217156;16.09;Casa
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;4624;14.71;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;6084;25.64;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;15625;56.0;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;2304;15.62;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;30625;24.0;Apartamento
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;160000;30.0;Casa
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;5776;32.89;Apartamento
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;142884;26.46;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;32400;30.56;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;11025;21.9;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;12100;35.45;Apartamento
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;729;48.15;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;40000;17.5;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;4900;25.71;Apartamento
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;59536;20.49;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;12100;40.91;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;8100;33.33;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;10000;26.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;5184;32.64;Apartamento
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;32400;22.22;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;8464;25.0;Apartamento
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;729;27.78;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;1225;57.14;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;1444;36.84;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;6889;19.28;Apartamento
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0;2560000;15.62;Casa
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;23409;42.48;Apartamento
Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;71289;67.42;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;7569;36.78;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;8100;17.22;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;2809;26.42;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;11664;55.09;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;7396;20.93;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;5476;25.0;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;5476;25.68;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;22500;53.33;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;19600;56.43;Apartamento
Casa;Méier;2;0;0;51;1500.0;50.0;0.0;2601;29.41;Casa
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;9025;42.11;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;3600;16.67;Apartamento
Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;532900;38.36;Casa
Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;0.0;19600;17.86;Casa
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;6400;43.75;Apartamento
Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;57600;52.92;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;10816;25.0;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;2025;17.78;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;4900;40.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;7744;30.68;Apartamento
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;1369;29.73;Apartamento
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;16900;42.31;Apartamento
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;5929;19.48;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;7225;29.41;Apartamento
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;6084;18.59;Apartamento
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;2916;42.59;Apartamento
Quitinete;Centro;0;0;0;30;800.0;505.0;0.0;900;26.67;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;4761;28.99;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;14400;58.33;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;6084;35.26;Apartamento
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;3600;16.67;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;8100;26.67;Apartamento
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;7396;46.51;Apartamento
Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0;784;35.71;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;4900;24.29;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;6400;22.5;Apartamento
Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0;4900;18.57;Apartamento
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;29584;15.7;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;68121;10.73;Apartamento
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;21025;55.17;Apartamento
Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;2809;20.75;Apartamento
Quitinete;Copacabana;1;0;0;29;1200.0;460.0;0.0;841;41.38;Apartamento
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;6889;33.73;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;6400;53.75;Apartamento
