to_postcode,to_country_id
00000000,32
00005-820,32
01031-970,32
01033001,64
01033-001,32
01034-001,64
01040-000,128
01041000,32
01046-010,96
01046925,32
01047020,32
01050-020,32
01050-030,32
01105010,32
01121-000,32
01122-030,32
01124-000,64
01124010,32
01130000,96
01131-000,32
01131-010,32
01132010,32
01132-010,32
01133-000,64
01135-000,64
01136-010,32
01139-010,96
01141-000,32
01150-011,64
01152-000,128
01152010,96
01152-010,64
01153-000,32
01155-040,32
01156-000,160
01156-030,96
01207-001,32
01214-100,32
01215010,32
01215-010,32
01217000,32
01217-011,32
01218-012,96
01219-010,64
01220-010,32
01222-000,32
01222001,32
01222-001,64
01222-010,32
01222-020,96
01223-000,64
01223001,32
01223-001,128
01223-010,32
01224-000,32
01224010,32
01224-020,64
01224-030,32
01224-040,32
01224050,32
01226-000,32
01226001,64
01226-001,32
01226010,32
01226-020,32
01227000,64
01227200,64
01227-200,32
01228000,96
01228-100,32
01229001,64
01229010,32
01229-010,128
01230000,96
01230-000,96
01230001,32
01230-020,32
01231001,96
01231-001,32
01231010,96
01231-010,32
01231011,64
01231-020,32
01232-000,128
01232001,32
01232-001,96
01232010,32
01232-010,32
01232011,128
01232-011,64
01232-020,32
01233-000,64
01233010,32
01233020,64
01233-020,32
01233-060,32
01234001,32
01235000,64
01238000,160
01238-000,96
01238001,128
01238-010,128
01239000,32
01239010,64
01239-020,32
01239040,32
01240000,64
01240-000,64
01240001,96
01240-010,32
01240020,128
01240906,32
01241001,32
01241-001,32
01241-020,32
01242001,32
01242-001,32
01243-000,32
01243001,32
01243020,32
01244000,32
01244001,32
01244-001,64
01244010,32
01244-010,32
01246000,704
01246-000,32
01246090,32
01248-000,32
01252-030,32
01252040,32
01252-040,64
01254000,64
01254-000,128
01255000,32
01255050,32
01257-000,96
01257020,32
01257-020,32
01257040,64
01257-040,160
01258-000,32
01258-010,32
01258011,64
01258-011,32
01258020,32
01259000,64
01259-010,64
01301100,32
01301-100,160
01302001,32
01303-001,32
01303-060,32
01304000,32
01304-000,32
01304001,64
01305-000,32
01306001,32
01306-010,32
01307000,32
01307-000,192
01307001,32
01307002,32
01307-011,32
01307012,32
01307-012,64
01308-000,32
01308020,128
01308-020,64
01308-030,32
01308-070,64
01309020,32
01311-000,32
01311-100,32
01311929,64
01312-010,32
01313-001,128
01314-000,32
01316-000,96
01316-010,32
